payment_id,invoice_number,vendor_id,vendor_name,paid_amount,payment_date,goods_receipt_id,status
PAY-0001,INV-1001,V001,Eastbrook Inc,11800.00,2026-03-04,GR-3001,paid
PAY-0002,INV-1002,V002,Ridgeline Inc,17500.00,2026-03-05,GR-3002,paid
PAY-0003,INV-1003,V003,Apex Group,9200.00,2026-03-06,GR-3003,paid
PAY-0004,INV-1004,V004,Golden Corp,4150.00,2026-03-07,GR-3004,paid
PAY-0005,INV-1005,V005,Northwind LLC,28900.00,2026-03-08,GR-3005,paid
PAY-0006,INV-1006,V006,Bluefin Partners,7600.00,2026-03-10,GR-3006,paid
PAY-0007,INV-1001,V001,Eastbrook Inc,11800.00,2026-03-18,GR-3007,paid
PAY-0008,INV-1007,V004,Golden Corp,16000.00,2026-03-20,GR-3008,paid
PAY-0009,INV-1008,V099,Shadow Supplies,5400.00,2026-03-22,GR-3009,paid
PAY-0010,INV-1009,V002,Ridgeline Inc,17500.00,2026-03-25,GR-3010,paid
